Config	ResRisk	AssetValue	AuthPenalty	PRiskPImpersAttack	PRiskReplayAttack	PRiskSessionAttack	TotalRisk	op_AccessPatientProfile	op_OrderLabTest	op_AdjustCarePlan	op_ApproveDischargeSummary	op_RequestConsultation	op_CommunicateWithPatient	op_ViewRadiologyImages	op_ManageAppointment	op_PrintMedicalReport	asset_Diagnosis	asset_TreatmentPlan	asset_LabResults	asset_TestReports	asset_PatientHistory	asset_PatientInteractions	asset_VisitSummaries	asset_ReferralNotes	asset_EncounterNotes	asset_PatientRecords	asset_PatientDemographics	asset_RadiologyImages	asset_DischargeSummaries	asset_PatientCommunications	Diagnosis_Read	Diagnosis_Write	Diagnosis_Update	Diagnosis_Delete	Diagnosis_CRUD	TreatmentPlan_Read	TreatmentPlan_Write	TreatmentPlan_Update	TreatmentPlan_Delete	TreatmentPlan_CRUD	LabResults_Read	LabResults_Write	LabResults_Update	LabResults_Delete	LabResults_CRUD	TestReports_Read	TestReports_Write	TestReports_Update	TestReports_Delete	TestReports_CRUD	PatientHistory_Read	PatientHistory_Write	PatientHistory_Update	PatientHistory_Delete	PatientHistory_CRUD	PatientInteractions_Read	PatientInteractions_Write	PatientInteractions_Update	PatientInteractions_Delete	PatientInteractions_CRUD	VisitSummaries_Read	VisitSummaries_Write	VisitSummaries_Update	VisitSummaries_Delete	VisitSummaries_CRUD	ReferralNotes_Read	ReferralNotes_Write	ReferralNotes_Update	ReferralNotes_Delete	ReferralNotes_CRUD	EncounterNotes_Read	EncounterNotes_Write	EncounterNotes_Update	EncounterNotes_Delete	EncounterNotes_CRUD	PatientRecords_Read	PatientRecords_Write	PatientRecords_Update	PatientRecords_Delete	PatientRecords_CRUD	PatientDemographics_Read	PatientDemographics_Write	PatientDemographics_Update	PatientDemographics_Delete	PatientDemographics_CRUD	RadiologyImages_Read	RadiologyImages_Write	RadiologyImages_Update	RadiologyImages_Delete	RadiologyImages_CRUD	DischargeSummaries_Read	DischargeSummaries_Write	DischargeSummaries_Update	DischargeSummaries_Delete	DischargeSummaries_CRUD	PatientCommunications_Read	PatientCommunications_Write	PatientCommunications_Update	PatientCommunications_Delete	PatientCommunications_CRUD
1	0.2897	0.7243	0.0205	0.2897	0.2897	0.0724	0.5070	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	0	0	0	R---	1	1	1	0	RWU-	1	1	0	0	RW--
2	0.2775	0.6938	0.1074	0.2775	0.2775	0.0694	0.4857	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	1	1	1	1	RWUD	1	1	0	0	RW--
3	0.2649	0.6623	0.1238	0.2649	0.2649	0.0662	0.4636	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	R---	1	1	1	1	RWUD	1	1	1	0	RWU-	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	0	RWU-	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	1	1	1	0	RWU-	1	1	0	0	RW--
4	0.2515	0.6287	0.2578	0.2515	0.2515	0.0629	0.4401	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	RWUD	1	1	1	0	RWU-	1	1	1	0	RWU-	1	0	0	0	R---	1	1	1	1	RWUD	0	0	0	0	----	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	1	1	1	0	RWU-	0	0	0	0	----
5	0.2407	0.6017	0.2554	0.2407	0.2407	0.0602	0.4212	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	RWU-	1	1	1	0	RWU-	1	1	0	0	RW--	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	1	1	1	0	RWU-	0	0	0	0	----
6	0.2231	0.5577	0.3277	0.2231	0.2231	0.0558	0.3904	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	0	0	0	R---	1	1	1	0	RWU-	1	1	0	0	RW--	1	0	0	0	R---	1	0	0	0	R---	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	1	1	1	0	RWU-	1	1	0	0	RW--
7	0.2177	0.5443	0.2939	0.2177	0.2177	0.0544	0.3810	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	0	0	0	R---	1	1	1	0	RWU-	1	1	1	1	RWUD	1	1	1	1	RWUD	1	0	0	0	R---	1	1	1	0	RWU-	1	1	1	1	RWUD	0	0	0	0	----	0	0	0	0	----	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	1	1	1	0	RWU-	1	1	0	0	RW--
8	0.1945	0.4862	0.3461	0.1945	0.1945	0.0486	0.3403	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	0	0	0	0	----	1	1	0	0	RW--
9	0.1935	0.4837	0.3413	0.1935	0.1935	0.0484	0.3386	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	0	RWU-	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----	1	1	1	1	RWUD	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	1	1	1	1	RWUD
10	0.1809	0.4522	0.3743	0.1809	0.1809	0.0452	0.3165	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	0	0	0	R---	1	1	1	0	RWU-	1	1	1	1	RWUD	1	1	1	0	RWU-	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----	1	1	1	1	RWUD	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	1	1	1	0	RWU-
11	0.1692	0.4230	0.3957	0.1692	0.1692	0.0423	0.2961	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	0	0	0	R---	1	1	1	0	RWU-	1	1	0	0	RW--	1	0	0	0	R---	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	1	1	0	0	RW--
12	0.1518	0.3795	0.4717	0.1518	0.1518	0.0379	0.2656	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	R---	1	1	1	0	RWU-	1	1	0	0	RW--	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----
